CNPJ;Ano;GN;Lead ou Prospecção Pura;Produto;CNPJ;Fantasia;Quantidade de CNPs;FATURAMENTO PRESUMIDO ANUAL;%;Representatividade 12º Mês;Expectativa de Cartões Ativos 12º Mês;Quantidade SOL;Segmento2;Segmento;Taxa a Vista%;Taxa CDC%;Concorrente;Cidade;UF;Data Último Contato;Status Negociação;Status da Oportunidade;URL Enviado?;Data Implantação;Data Abertura GP;Nº GP Mkt;Comentários
46.373.208/0001-57;2024;Débora;Lead;4ª Linha;46.373.208/0001-57;Conexão Total;0;R$ 69.000,00;7%;R$ 4.402,20;5;0;Confecções;Confecções; ; ; ; ;PR;Finalizado;Implantado; ; ;18/03/2024; ; ; 
31.611.250/0001-91;2024;Rodrigo;Lead;4ª Linha;31.611.250/0001-91;Luar Móveis;1;R$ 292.000,00;7%;R$ 18.629,60;22;0,02;Outros;Varejista de Móveis; ; ; ; ;PR;Finalizado;Implantado; ; ;18/03/2024; ; ; 
09.080.039/0001-48;2024;Rafael;Lead;4ª Linha;09.080.039/0001-48;Eletro Casa + Barato;3;R$ 300.000,00;7%;R$ 19.140,00;300;0,02;Outros;Eletro; ; ;Sem operadora;Barcarena;PA;Finalizado;Implantado; ;Sim;21/03/2024; ; ; 
37.204.996/0001-67;2024;Rodrigo;Prospecção Pura;4ª Linha;37.204.996/0001-67;Brasil Salvados;0;R$ 109.000,00;7%;R$ 6.954,20;8;0,01;Outros;Varejista de Móveis; ; ; ; ;PR;Finalizado;Implantado; ; ;18/03/2024; ; ; 
06.938.441/0001-15;2024;Rodrigo;Lead;4ª Linha;06.938.441/0001-15;Ludilar Móveis;0;R$ 3.000.000,00;7%;R$ 191.400,00;228;0,18;Outros;Varejista de Móveis; ; ; ; ;PR;Finalizado;Implantado; ; ;20/05/2024; ; ; 
20.393.199/0001-72;2024;Murilo;Lead;4ª Linha;20.393.199/0001-72;Play Games;0;R$ 210.000,00;7%;R$ 13.398,00;16;0,01;Outros;Varejista de Eletrônicos; ; ; ; ;PR;Finalizado;Implantado;Implantado; ;22/07/2024; ; ; 
19.258.530/0001-62;2024;Felipe;Prospecção Pura;Personalizado;19.258.530/0001-62;Medprev Online Soluções Ltda ;17;R$ 4.000.000,00;7%;R$ 255.200,00;5000;0,24;Outros;Artigos em geral; ; ; ;São José dos Pinhais;PR;Finalizado;Implantado; ; ;02/12/2024; ; ; 
10.680.109/0001-70;2024;Rodrigo;Prospecção Pura;4ª Linha;10.680.109/0001-70;Dulski Modas;0;R$ 302.000,00;7%;R$ 19.267,60;23;0,02;Confecções;Confecções; ; ; ;Umbara;PR;Finalizado;Fechado; ; ;02/12/2024; ; ;O cliente não tem a certidão negativa para finalizar a documentação. 
07.240.494/0001-20;2024;Rafael;Lead;4ª Linha;07.240.494/0001-20;Presentes &Cia;2;R$ 300.000,00;7%;R$ 19.140,00;300;0,02;Outros;Varejista; ; ;Sem operadora;Pontes E Lacerda;MT;Finalizado;Implantado; ;Sim;19/09/2024; ; ; 
17.237.747/0001-60;2024;Murilo;Lead;4ª Linha;17.237.747/0001-60;Felicita Confecções;0;R$ 340.000,00;7%;R$ 21.692,00;26;0,02;Confecções;Confecções; ; ; ; ;SC;Finalizado;Implantado;Implantado; ;09/12/2024; ; ; 
46.160.287/0001-18;2024;Murilo;Lead;4ª Linha;46.160.287/0001-18;Decorativa Cama Mesa E Banho;0;R$ 280.000,00;7%;R$ 17.864,00;21;0,02;Confecções;Confecções; ; ; ; ;PR;Finalizado;Implantado;Implantado; ;15/10/2024; ; ; 
23.630.396/0001-56;2024;Maurício;Lead;4ª Linha;23.630.396/0001-56;Propulsão Clínica Odontológica;4;R$ 348.000,00;7%;R$ 22.202,40;26;0,02;Outros;Atividade Odontológica; ; ; ; ;PR;Finalizado;Implantado; ; ;03/02/2025; ; ;Implantado
27.815.014/0001-10;2024;Murilo;Lead;4ª Linha;27.815.014/0001-10;Supermercado Riviera ;0;R$ 1.000.000,00;7%;R$ 63.800,00;76;0,06;Supermercado;Supermercado; ; ; ; ;PR;Finalizado;Implantado;Implantado; ;13/01/2025; ; ; 
08.283.724/0001-00;2024;Rodrigo;Prospecção Pura;4ª Linha;08.283.724/0001-00;R & M Calcados E Esportes ;0;R$ 340.000,00;7%;R$ 21.692,00;26;0,02;Outros;Varejista de Móveis; ; ; ; ;PR;Finalizado;Implantado; ; ;12/11/2024; ; ; 
12.427.705/0001-79;2024;Rodrigo;Lead;4ª Linha;12.427.705/0001-79;Elizandra Modas;0;R$ 290.000,00;7%;R$ 18.502,00;22;0,02;Confecções;Confecções; ; ; ; ;sc;Finalizado;Implantado; ; ;11/11/2024; ; ; 
07.306.828/0017-89;2025;Anne;Prospecção Pura;Personalizado;07.306.828/0017-89;Supermercado Golf;20;R$ 578.000.000,00;7%;R$ 36.876.400,00;3000;2;Supermercado;Supermercado;2,00%;2,80%;Senff;Londrina;PR;09/10/2025;Negociação;Morno; ; ; ; ;Rone precisou desmarcar nossa reunião. Entrei em contato com sua secretaria, e estamos aguardando um nova data.
